ts,alert
2025-06-24 19:53:00,1
2025-06-25 10:03:00,1
2025-06-25 13:58:00,1
2025-06-26 00:06:00,1
2025-06-26 08:36:00,1
2025-06-26 21:28:00,1
2025-06-26 22:52:00,1
2025-06-26 23:53:00,1
2025-06-27 17:36:00,1
2025-06-27 23:15:00,1
2025-06-28 20:28:00,1
2025-06-29 05:42:00,1
2025-06-29 10:43:00,1
2025-06-29 11:43:00,1
2025-06-29 13:47:00,1
2025-06-29 14:55:00,1
2025-06-29 16:40:00,1
2025-06-29 17:47:00,1
2025-06-30 08:47:00,1
2025-06-30 22:04:00,1
2025-06-30 23:06:00,1
2025-08-04 18:38:00,1
2025-08-04 19:38:00,1
2025-08-06 02:53:00,1
2025-08-06 07:57:00,1
2025-08-06 09:54:00,1
2025-08-07 02:58:00,1
2025-08-07 06:10:00,1
2025-08-07 09:23:00,1
2025-08-07 14:35:00,1
2025-08-08 06:04:00,1
2025-08-08 08:04:00,1
2025-08-08 19:01:00,1
2025-08-11 10:06:00,1
2025-08-11 13:20:00,1
2025-08-11 14:35:00,1
2025-08-11 15:35:00,1
2025-08-11 19:59:00,1
2025-08-11 21:05:00,1
2025-08-12 00:52:00,1
2025-08-12 03:52:00,1
2025-08-12 20:19:00,1
2025-08-13 04:56:00,1
2025-08-14 06:48:00,1
2025-08-14 12:07:00,1
2025-08-14 16:53:00,1
2025-08-17 08:36:00,1
2025-08-17 17:06:00,1
2025-08-18 04:10:00,1
2025-08-18 07:51:00,1
2025-08-18 13:24:00,1
2025-08-19 11:50:00,1
2025-08-19 20:28:00,1
2025-08-20 00:08:00,1
2025-08-20 02:14:00,1
2025-08-20 10:54:00,1
2025-08-21 06:42:00,1
2025-08-21 07:42:00,1
2025-08-22 07:57:00,1
2025-08-23 04:04:00,1
2025-08-23 05:36:00,1
2025-08-23 13:50:00,1
2025-08-24 19:10:00,1
2025-08-24 21:25:00,1
2025-08-26 07:35:00,1
2025-08-26 16:15:00,1
2025-08-26 18:17:00,1
2025-08-26 19:17:00,1
2025-08-27 19:54:00,1
2025-08-28 05:03:00,1
2025-08-28 22:05:00,1
2025-08-28 23:50:00,1
2025-08-29 02:25:00,1
2025-08-29 05:39:00,1
2025-08-29 06:59:00,1
2025-08-29 09:30:00,1
2025-08-30 02:41:00,1
2025-08-30 03:41:00,1
2025-08-30 04:41:00,1
2025-08-30 11:53:00,1
